R1_PWRUSB,125.91,36.74,0.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,154.11,43.10,0.00,PFMF.050.1,ESP32C6_VARISTOR_CT/CN1812
R2-PINH1,88.39,60.92,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,157.82,51.60,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,155.57,45.62,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,157.25,6.70,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,69.32,14.48,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,129.16,50.45,0.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,50.52,39.48,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,48.74,39.38,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,46.06,39.38,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,8.58,98.78,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,71.50,13.48,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.06,108.83,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,27.58,108.61,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,87.91,47.44,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.58,108.84,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,73.90,16.40,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.75,108.71,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SJ1,68.96,12.56,0.00,,SJ
TP1,17.41,76.16,0.00,TPTP20R,TP20R
TP10,150.37,62.18,0.00,TPTP20R,TP20R
TP11,20.29,82.36,0.00,TPTP20R,TP20R
